,train,val,test
0,16B0008045,18B0005478F,18B0005478I
1,18B0004349G,16B0008067,16B0024173
2,16B0022610,16B0024177,17B0031890
3,17B0017506,17B0031109,18B0003808K
4,17B0015969,18B0006623J,18B0006169B
5,16B0026794,18B0005478G,16B0006695
6,17B0023487,17B0031103,17B0019359
7,16B0022615,18B0001071H,18B0003896D
8,18B0005718B,16B0022786,16B0023614
9,18B0003032A,16B0003394,18B0006622E
10,17B00208864,18B0006623F,16B0022781
11,18B0006623C,18B0003901F,17B0034247
12,16B0024174,18B0002933I,17B0016583
13,16B0003388,18B0001971B,18B0006623H
14,17B0017717,16B0028161,17B0035225
15,18B0006179I,18B0002452G,18B0002933H
16,18B0005773,16B0028813,16B0006668
17,17B0024636,17B0034674,16B0028138
18,18B0006174B,18B0001510J,18B0006623B
19,17B0017511,18B0004358D,17B0016589
20,16B0028816,16B0024175,16B0022616
21,18B0006623I,17B0031053,18B0005477G
22,16B0027039,18B0001159D,18B0005230E
23,16B0028822,17B0015777,18B0005126C
24,17B0031879,18B001071J,17B0027608
25,18B0002975B,17B0031108,16B0026796
26,18B0001510G,17B0032153,16B0022612
27,17B0035220,17B00208861,17B0034449
28,17B0034675,17B0034179,17B0031061
29,17B0023980,16B0028815,17B00116581
30,16B0022613,17B0017454,16B0028168
31,18B0005478D,,
32,17B0029587,,
33,17B0034184,,
34,18B0006623D,,
35,17B0015554,,
36,16B0024181,,
37,16B0006669,,
38,17B0031904,,
39,17B0023909,,
40,18B0002930B,,
41,18B0006177A,,
42,18B0005478H,,
43,18B0005478B,,
44,18B0003894H,,
45,18B000646H,,
46,17B0015685,,
47,18B0006623A,,
48,18B0005478J,,
49,16B0001851,,
50,17B0022792,,
51,17B0011996,,
52,17B0031893,,
53,17B0031079,,
54,16B0028817,,
55,18B0005478C,,
56,18B0005478A,,
57,16B0026792,,
58,18B0001966H,,
59,18B0006173F,,
60,16B0028914,,
61,18B0005125B,,
62,17B0027646,,
63,16B0026795,,
64,16B0028814,,
65,17B0031932,,
66,16B0027040,,
67,17B0031877,,
68,18B0001506G,,
69,18B0005124A,,
70,17B0028627,,
71,18B000646G,,
72,17B0031911,,
73,18B0005478E,,
74,16B0006694,,
75,17B0016579,,
76,16B0027038,,
77,18B0003894J,,
78,17B0031124,,
79,18B0006621D,,
80,16B0022608,,
81,18B0006623G,,
82,16B0028148,,
83,18B0006170D,,
84,17B0029534,,
85,18B0002932D,,
86,16B0023613,,
87,18B0004349A,,
88,18B0004346A,,
89,17B0021010,,
90,17B0024162,,
91,17B0018428,,
92,17B0016566,,
