,train,val,test
0,16B0022781,18B0005477G,16B0026794
1,17B0034184,18B0006623J,18B0004358D
2,17B0021010,18B0002932D,18B0003901F
3,18B0005478D,17B0032153,16B0027038
4,17B0031932,17B0018428,18B0005478A
5,17B0034449,17B00208864,17B0019359
6,16B0028813,17B0016589,17B0034179
7,16B0026792,18B0005773,18B0001510G
8,16B0001851,16B0028816,16B0026795
9,17B0034674,16B0027039,16B0028817
10,16B0028161,17B0034675,17B0031109
11,16B0022613,18B0005478C,17B0024162
12,17B0028627,17B00116581,17B0031103
13,16B0024177,18B001071J,17B0023487
14,16B0024175,18B0002933H,17B0023980
15,16B0006668,18B0004349G,16B0027040
16,17B0024636,17B0017717,18B0001159D
17,16B0028914,16B0022612,17B0031877
18,16B0023614,18B0001071H,17B0015685
19,18B0004346A,17B0035225,17B0031911
20,16B0026796,18B0006179I,17B0027646
21,18B0006622E,18B000646H,17B0022792
22,16B0006694,18B0006174B,17B0031879
23,16B0028822,16B0006695,18B0002975B
24,16B0022615,17B0031053,17B0016579
25,16B0023613,17B0029534,16B0024181
26,18B0002452G,18B0006173F,16B0022786
27,17B0016566,16B0028814,16B0022616
28,17B0031061,16B0028815,16B0024173
29,17B0015777,18B0006623F,18B0005124A
30,18B0006623B,16B0003388,17B0031893
31,18B0006621D,,
32,18B0006177A,,
33,18B0005126C,,
34,18B0004349A,,
35,17B0027608,,
36,18B0001506G,,
37,18B0006623C,,
38,16B0008067,,
39,18B0001966H,,
40,18B0005230E,,
41,18B0005125B,,
42,16B0008045,,
43,18B0005718B,,
44,18B0006623G,,
45,18B0005478G,,
46,16B0024174,,
47,17B0017511,,
48,16B0022608,,
49,16B0022610,,
50,17B0017454,,
51,18B0005478I,,
52,18B0003896D,,
53,17B0031890,,
54,18B0002933I,,
55,17B0031079,,
56,17B0015554,,
57,16B0028148,,
58,17B0035220,,
59,18B0002930B,,
60,16B0028168,,
61,18B0003894J,,
62,16B0006669,,
63,18B000646G,,
64,18B0005478E,,
65,17B0031904,,
66,18B0006170D,,
67,18B0006623I,,
68,18B0003894H,,
69,17B0016583,,
70,18B0001971B,,
71,17B0023909,,
72,18B0005478H,,
73,18B0006623D,,
74,17B0029587,,
75,17B0034247,,
76,17B0031124,,
77,18B0006623A,,
78,18B0005478F,,
79,18B0006623H,,
80,18B0001510J,,
81,18B0003808K,,
82,18B0005478J,,
83,16B0028138,,
84,17B00208861,,
85,17B0015969,,
86,18B0005478B,,
87,17B0017506,,
88,17B0011996,,
89,18B0006169B,,
90,17B0031108,,
91,16B0003394,,
92,18B0003032A,,
