,train,val,test
0,16B0028817,18B0003896D,18B0005478E
1,18B0003808K,18B0005478F,18B0001159D
2,17B0031879,16B0022608,17B0018428
3,17B0024636,18B0002930B,18B0005718B
4,16B0023614,18B0006623A,16B0006669
5,18B0005773,18B0001971B,16B0028914
6,18B0001966H,18B0005125B,17B0031893
7,17B0027646,18B0006623I,16B0024174
8,18B0005230E,17B0034247,18B0006174B
9,18B0005478H,18B0006623G,18B0005478G
10,18B000646G,17B0032153,17B0034184
11,16B0028138,17B0023909,17B00208861
12,16B0022616,18B0006173F,18B0001510G
13,18B0003032A,17B0016589,17B0031053
14,16B0022613,18B0004349A,16B0028822
15,17B0031911,18B0006623H,17B0016579
16,16B0001851,17B0015685,16B0028814
17,18B0005478B,16B0026796,17B0015969
18,18B0006177A,18B0001510J,17B0016566
19,16B0026795,16B0024177,16B0027040
20,18B000646H,17B0017506,17B0031932
21,16B0028813,18B0006623B,17B0031890
22,18B0005478D,18B0006170D,16B0022610
23,18B0006179I,18B0006623C,17B0031877
24,17B0016583,17B0031103,17B0022792
25,17B0028627,17B0017454,17B0031108
26,17B0023980,16B0026794,16B0006668
27,18B0006623F,18B0002975B,17B0024162
28,18B0004358D,17B0021010,18B0006621D
29,18B0003894H,17B0019359,17B0031061
30,16B0024173,16B0008045,16B0024181
31,17B0031109,,
32,18B0005478J,,
33,18B0002933I,,
34,16B0022612,,
35,16B0006694,,
36,17B0017511,,
37,16B0024175,,
38,18B0005126C,,
39,16B0003388,,
40,17B0023487,,
41,18B0006623J,,
42,18B0005124A,,
43,17B0027608,,
44,16B0027039,,
45,17B0035225,,
46,17B0029587,,
47,17B0034675,,
48,17B0017717,,
49,17B0035220,,
50,16B0022781,,
51,18B0006622E,,
52,17B0031124,,
53,18B0006169B,,
54,18B001071J,,
55,17B00208864,,
56,16B0008067,,
57,16B0023613,,
58,17B0029534,,
59,18B0002452G,,
60,18B0004346A,,
61,17B0031079,,
62,17B0015554,,
63,17B0015777,,
64,18B0005477G,,
65,16B0022786,,
66,18B0004349G,,
67,16B0022615,,
68,17B0034179,,
69,16B0028168,,
70,17B0031904,,
71,18B0003894J,,
72,17B0011996,,
73,18B0002932D,,
74,16B0028148,,
75,16B0006695,,
76,16B0028161,,
77,17B00116581,,
78,16B0003394,,
79,18B0002933H,,
80,16B0027038,,
81,18B0005478C,,
82,18B0005478A,,
83,17B0034674,,
84,18B0005478I,,
85,16B0026792,,
86,17B0034449,,
87,18B0001071H,,
88,18B0001506G,,
89,16B0028815,,
90,18B0006623D,,
91,18B0003901F,,
92,16B0028816,,
